"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"17","","","1","Ramphastos toco (Statius Müller, 1776)\n Tucano toco toco\n Toucan\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","tucano [toucan]","","Ramphastos toco (Statius Müller, 1776)","Toco toucan (Statius Müller, 1776)","1776","Philipp Ludwig Statius Müller (viaf:18096264)","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","Https://it.wikipedia.org/wiki/ramphastos_toco","",""
"18","","","1","Meleagris gallopavo (Linnaeus, 1758)\n Esemplare tassidermizzato di tacchino selvatico\n Taxidermized specimen of wild turkey\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","tacchino [turkey]","","Meleagris gallopavo (Linneaus, 1758)","Wild turkey (Linneaus, 1758)","1758","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","Https://it.wikipedia.org/wiki/meleagris_gallopavo","",""
"19","","","1","Dasypus novemcinctus (Linnaeus, 1757)\n Armadillo\n Armadillo\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","armadillo [armadillo]","","Dasypus novemcinctus (Linnaeus, 1757)","Armadillo (Linnaeus, 1757)","1757","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","Https://it.wikipedia.org/wiki/dasypus_novemcinctus","",""
"20","","","1","Codice Cospi, manoscritto divinatorio mesoamericano\n Codex Cospi, mesoamerican divination manuscript\n sec. XV-XVI\n 15th-16th century\n BUB, Ms. 4093[am2]","https://editions.pure3d.eu/project/14/edition/1/index.html","","Codice Manoscritto","Disegno","Codice Manoscritto","divinazione [divination]; calendario azteco [Aztec calendar]","Codice Cospi @ita","Codice Cospi","Codex Cospi","1400-1520","","","","","","","","","","","","","","Biblioteca Universitaria di Bologna","Bologna","Ms. 4093[am2]","Https://bub.unibo.it/it/bub-digitale/il-codice-cospi#:~:text=il%20codice%20cospi%20(bub%2c%20ms,di%20puebla%2c%20nel%20messico%20centrale.","Https://bub.unibo.it/it/bub-digitale/il-codice-cospi/bub_ms4093_cospi?view=imageview&manifest=https%3a%2f%2fbub.unibo.it%2fiiif%2f2%2fmanifest%2fbub%2fmanoscritti%2fbub_ms4093_cospi.json&canvas=https%3a%2f%2fbub.unibo.it%2fiiif%2f2%2fcanvas%2fbub%40manoscritti%40bub_ms4093_cospi%4049ed0574103095c4af1add7e9513620fb22744eb-bub_ms4093_000001-recto_piatto_anteriore.jp2.json",""
"21","","","1","Ritratto di Ulisse Aldrovandi\n Portrait of Ulisse Aldrovandi\n Agostino Carracci, olio su tela/oil on canvas,[am3]\n 1582-1585\n Bergamo, Accademia Carrara","","","Dipinto","Olio Su Tela","Dipinto","Ulisse Aldrovandi [Ulisse Aldrovandi]","Ritratto di Ulisse Aldrovandi @ita","Ritratto di Ulisse Aldrovandi","Portrait of Ulisse Aldrovandi","1582-1585","","Agostino Carracci (ulan:500115349)","","Agostino Carracci (ulan:500115349)","","","","","","","","","","Accademia Carrara","Bergamo","0302024396 (codice Catalogo Nazionale)","Https://catalogo.beniculturali.it/detail/historicorartisticproperty/0302024396","Http://www.sigecweb.beniculturali.it/images/fullsize/iccd1024624/iccd11388942_oa-c0050-00638_01.jpg",""
"22","","","2","Dioscorides Pedanius\n De plantis epitome utilissima\n Francoforte sul Meno, Johann Feyerabend, 1586\n Bologna, Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Fondo storico Bertoloni[am4]","","","Stampa","Acquerello","Volume A Stampa","erbe [herbs]; botanica [botany]","De plantis epitome utilissima @lat","De plantis epitome utilissima","A highly useful compendium of plants","1586","","Dioscorides Pedanius (viaf:78822798)","Pietro Andrea Mattioli (viaf:61549376)","Pietro Andrea Mattioli (viaf:61549376)","","Johann Feyrabend (viaf:2399145857094322922033)","Francoforte sul Meno","","","Volume A Stampa","De materia medica","","Fondo storico Bertoloni","Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali di Bologna","Bologna","Bov 1094 Bertoloni 7 M 12","Https://bigea.unibo.it/it/biblioteca/collezioni/fondi-antichi-miscellanee-e-fondi-archivistici/unibo.tiles.multi.links_attachments/b6e61f4b6d194827a308794387d0bbf6/@@objects-download/b9bbcce0c62046f39d751986010fb8c7/file/catalogo%20antichi%20bigea%20bio.pdf","Https://archive.org/details/biusante_07755x01/page/n221/mode/2up",""
"24","","","2","Mappa dell’Orto Botanico di Padova\n Map of the Botanical Garden in Padua\n In Giacomo Antonio Cortusi, L’horto de i semplici di Padoua\n Venezia, Girolamo Porro, 1591\n BUB, A.v.tab.i.c.i.278/5","","","Mappa","Incisione","Mappa","orto botanico [botanical garden]; Padova [Padua]","Mappa dell’Orto Botanico di Padova @ita","Mappa dell’Orto Botanico di Padova","Map of the Botanical Garden in Padua","1591","","","","Giacomo Antonio Cortusi (viaf:83611007)","Girolamo Porro (viaf:73994407)","Girolamo Porro (viaf:73994407)","Venezia","","","Volume A Stampa","L’horto de i semplici di Padoua","","","Biblioteca Universitaria di Bologna","Bologna","A.v.tab.i.c.i.278/5","","Https://www.apartmentspadova.it/wp-content/uploads/orto_botanico-padova_pianta-768x745.jpg",""
"25","","","2","Mappa dell’Orto Botanico di Bologna\n Map of the Botanical Garden in Bologna\n In Giuseppe Monti, Indices botanici et materiae medicae\n Bologna, Lelio Dalla Volpe[am6], 1753\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Mappa","Incisione","Mappa","orto botanico [botanical garden]; Bologna [Bologna]","Mappa dell’Orto Botanico di Bologna @ita","Mappa dell’Orto Botanico di Bologna","Map of the Botanical Garden in Bologna","1753","","Giuseppe Monti (viaf:54929912)","","","","Lelio Dalla Volpe (viaf:229161781)","Bologna","","","Volume A Stampa","Indices botanici et materiae medicae","","","Orto Botanico ed Erbario di Bologna","Bologna","","Https://www.worldcat.org/it/title/indices-botanici-et-materiae-medicae-quibus-plantarum-genera-hactenus-instituta-summatim-recensuntur-accedit-horti-publici-bononiensis-brevis-historia/oclc/312292969; Https://www.martayanlan.com/pages/books/1236/gaetano-monti/indices-botanici-et-materiae-medicae-quibus-plantarum-genera-hactenus-instituta-simplicium","Https://www.martayanlan.com/pictures/thumb/1236_2.jpg?v=1561386348",""
"26","","","2","Chrysanthemi\n Girasole\n Sunflower\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di piante, fiori e frutti\n Vol. 1, Carta 76","","","Volume Manoscritto","Disegno","Volume Manoscritto","girasole [sunflower]","","Chrysanthemi","Sunflower","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume Manoscritto","Tavole di piante, fiori e frutti","1","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di piante, fiori e frutti Vol. 1, Carta 76","","Https://scontent.fmxp10-1.fna.fbcdn.net/v/t1.6435-9/67104730_579833669088237_2745322441105473536_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=xoumxr-60poax-jlv5a&_nc_ht=scontent.fmxp10-1.fna&oh=00_afakz2b_auq93lponurc7ilmcikdviwy5entnktcpdhmng&oe=6455fc3e",""
"27a","","","2","Delphinium staphisagria L.\n Speronella\n Stavesacre\n Erbario Aldrovandi, Vol. 7, Carta 85\n sec. XVI\n 16th century\n Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","","Specimen","Essiccatura","Erbario","speronella [larkspur]","","Delphinium staphisagria L.","Stavesacre","1500-1599","Carl Von Linné (viaf:34594730)","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Erbario","Erbario Aldrovandi","7","","Orto Botanico ed Erbario di Bologna","Bologna","Erbario Aldrovandi, Vol. 7, Carta 85","","",""
