"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"44","","","3","Narcissus\n Narciso\n Daffodil\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di piante, fiori e frutti, Vol. 7, Carta 115","","","Tavola Manoscritta","Disegno","Tavola Manoscritta","narciso [narcissus]","Narcissus @lat","Narcissus","Daffodil","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume A Stampa","Tavole di piante, fiori e frutti","7","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di piante, fiori e frutti, Vol. 7, Carta 115","","",""
"45","","","3","Muscolatura umana e scheletro pensante\n Human muscolar system and thinking skeleton\n In Andreas Vesalius, De humani corporis fabrica\n Basilea, Johann Oporinus, 1543\n BUB, A.v.ff.i.6","","","Stampa","Stampa Tipografica","Volume A Stampa","scheletro [skeleton]; umano [human]","Muscolatura umana e scheletro pensante @ita","Muscolatura umana e scheletro pensante","Human muscolar system and thinking skeleton","1543","","Andreas Vesalius (viaf:51696979)","","","","Johann Oporinus (viaf:32062642)","Basilea","","","Volume Manoscritto","De humani corporis fabrica","","","Biblioteca Universitaria di Bologna","Bologna","A.v.ff.i.6","","",""
"46","","","3","Ruote Idrauliche\n Water Wheels\n In Agricola Georg, De re metallica\n Basilea, Hieronymus Froben e Nicolaus Episcopius, 1556\n BUB, A.iv.h.i.53","","","Stampa","Stampa Tipografica","Volume A Stampa","ruota idraulica [water wheel]","Ruote idrauliche @ita","Ruote idrauliche","Water wheels","1556","","Georg Agricola (viaf:100164815)","","","","Hieronymus Froben (viaf:32319505) ; Nicolaus Episcopius (viaf:100388966)","Basilea","","","Volume A Stampa","De re metallica","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.i.53","","",""
"47","","","3","Illustrazioni della luna\n Moon illustrations\n In Opere di Galileo Galilei divise in quattro tomi, in questa nuova edizione accresciuta di molte cose inedite. Tomo II\n Padova, Stamperia del Seminario, 1744\n Bologna, Biblioteca di Matematica, Fisica e Informatica. Sezione di Fisica. Biblioteca storica ""Guido Horn d'Arturo""","","","Stampa","Stampa Tipografica","Volume A Stampa","luna [moon]","Illustrazioni della luna @ita","Illustrazioni della luna","Moon illustrations","1744","","Galileo Galilei (viaf:2470550)","","","","Stamperia del Seminario","Padova","","","Volume A Stampa","Opere di Galileo Galilei divise in quattro tomi, in questa nuova edizione accresciuta di molte cose inedite","2","","Biblioteca di Matematica, Fisica e Informatica di Bologna","Bologna","Sezione di Fisica. Biblioteca storica ""Guido Horn d'Arturo""","","",""
"48","","","3","Descrizione dell'anatomia microscopica dell'ape\n Description of the microscopic anatomy of a bee\n In Persius Flaccus Aulus, Persio tradotto tn verso sciolto, Roma, Giacomo Mascardi, 1630\n BUB, A.v.y.xi.28","","","Stampa","Stampa Tipografica","Volume A Stampa","ape [bee]","Descrizione dell'anatomia microscopica dell'ape @ita","Descrizione dell'anatomia microscopica dell'ape","Description of the microscopic anatomy of a bee","1630","","Aulus Persius Flaccus (viaf:100198157)","","","","Giacomo Mascardi (viaf:11893599)","Roma","","","","Persio tradotto in verso sciolto e dichiarato da Francesco Stelluti Accad. Linceo da Fabriano all'Ill.mo et R.mo Sig.re il Sig. cardinale Barberino","","","Biblioteca Universitaria di Bologna","Bologna","A.v.y.xi.28","","",""
"ptb","","","3","Parete con matrici xilografiche","","","Xilografia","Incisione","Xilografia","","","Parete con matrici xilografiche","Wall with xilographic matrices","","","","","","","","","","","","","","","","","","","",""
"ptb_1","Ptb","Parte Di","3","Matrice xilografica fiore","","","Xilografia","Incisione","Xilografia","fiore [flower]","","Matrice xilografica fiore","Xilographic matrix of a flower","","","","","","","","","","","","","","","","","","","",""
"ptb_2","Ptb","Parte Di","3","Matrice xilografica pianta","","","Xilografia","Incisione","Xilografia","pianta [plant]","","Matrice xilografica pianta","Xilographic matrix of a plant","","","","","","","","","","","","","","","","","","","",""
"ptb_3","Ptb","Parte Di","3","Matrice xilografica serpente","","","Xilografia","Incisione","Xilografia","serpente [snake]","","Matrice xilografica serpente","Xilographic matrix of a snake","","","","","","","","","","","","","","","","","","","",""
"ptb_4","Ptb","Parte Di","3","Matrice xilografica egizia","","","Xilografia","Incisione","Xilografia","geroglifici [hieroglyphs]","","Matrice xilografica egizia","Egyptian xilographic matrix","","","","","","","","","","","","","","","","","","","",""
"49","","","4","Maschera raffigurante Yacatecuhtli, patrono dei mercanti, cultura nahua, ca. 1350-1521 d.C.\n Mask depicting Yacatecuhtli, patron god of merchants, Nahua culture, ca. 1350-1521 A.D.\n Roma, Museo delle Civiltà","","","Maschera","Mosaico","Maschera","dio [god]; mercanti [merchants]; Yacatecuhtli [Yacatecuhtli]","","Maschera raffigurante Yacatecuhtli, patrono dei mercanti","Mask depicting Yacatecuhtli, patron god of merchants","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"50","","","4","Manico di coltello sacrificale in forma di rettile fantastico, cultura nahua, ca. 1350-1521 d.C.\n Handle of sacrificial knife in the shape of a fantastical reptile, Nahua culture, ca. 1350-1521 A.D.\n Roma, Museo delle Civiltà","","","Manico Di Coltello","Mosaico","Manico Di Coltello","rettile [reptile]","","Manico di coltello sacrificale in forma di rettile fantastico","Handle of sacrificial knife in the shape of a fantastical reptile","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"51","","","4","Manico di coltello sacrificale in forma di figura umana, cultura nahua, ca. 1350-1521 d.C.\n Human-shaped handle of sacrificial knife, Nahua culture, ca. 1350-1521 A.D.\n Roma, Museo delle Civiltà","","","Manico Di Coltello","Mosaico","Manico Di Coltello","umano [human]","","Manico di coltello sacrificale in forma di figura umana","Human-shaped handle of sacrificial knife","1350-1521","","","","","","","","","","","","","","Museo delle Civiltà di Roma","Roma","","","",""
"52","","","4","Maschera\n Mask\n In Ulisse Aldrovandi, Musaeum metallicum\n Bologna, Marco Antonio Bernia e Giovan Battista Ferroni, 1648\n BUB, A.iv.h.iii.11/13","http://hdl.handle.net/20.500.14008/78078","","Stampa","Stampa Tipografica","Volume A Stampa","maschera [mask]","Maschera @ita","Maschera","Mask","1648","","Ulisse Aldrovandi (viaf:100190422)","","","","Marco Antonio Bernia (viaf:64188928) ; Giovanni Battista Ferroni (viaf:99638925)","Bologna","","","Volume A Stampa","Musaeum metallicum","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.iii.11/13","","",""
"53","","","4","Pendente con testa di idolo in serpentino [am2]\n Cultura nahua o mixteca, ca. 1350-1521 d.C.\n Serpentine pendant in the shape of a human head, Nahua or Mixtec culture, ca. 1350-1521 A.D.\n Bologna, Museo Civico Medievale","","","Pendente","Scultura","Pendente","umano [human]; testa [head]","","Pendente con testa di idolo in serpentino","Serpentine pendant in the shape of a human head","1350-1521","Davide Domenici (viaf:20000053)","","","","","","","","","","","","","Museo Civico Medievale di Bologna","Bologna","","","",""
"54","","","4","Idoli\n Cult images\n In Ulisse Aldrovandi, Musaeum metallicum\n Bologna, Marco Antonio Bernia e Giovan Battista Ferroni, 1648\n BUB, A.iv.h.iii.11/13","http://hdl.handle.net/20.500.14008/78078","","Stampa","Stampa Tipografica","Volume A Stampa","umano [human]; testa [head]","Idoli @ita","Idoli","Cult images","1648","","Ulisse Aldrovandi (viaf:100190422)","","","","Marco Antonio Bernia (viaf:64188928) ; Giovanni Battista Ferroni (viaf:99638925)","Bologna","","","Volume A Stampa","Musaeum metallicum","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.iii.11/13","","",""
"a_alto_centro","","","5","Testamento di Ulisse Aldrovandi\n Ulisse Aldrovandi’s will\n Carlo Antonio Manzolini, 6/1, Prot. testamenti 1592-1608, cc. 81v-90r. Archivio di Stato di Bologna, Archivio notarile","","","Tavola Manoscritta","Scrittura","Tavola Manoscritta","testamento [testament]","","Testamento di Ulisse Aldrovandi","Ulisse Aldrovandi’s will","1592-1608","","Carlo Antonio Manzolini","","","","","","","Ulisse Aldrovandi (viaf:100190422)","","Prot. Testamenti 1592-1608","","","Archivio di Stato di Bologna","Bologna","","","",""
"a_alto_sinistra_1","","","5","Medaglia in piombo\n Lead medal\n Timoteo Refati, sec. XVI - 16th century\n Bologna, Museo Civico Archeologico[am1]","","","Medaglia","Incisione","Medaglia","","","Medaglia in piombo","Lead medal","1500-1599","Timoteo Refati","","","","","","","","","","","","","Museo Civico Archeologico di Bologna","Bologna","","","",""
"a_alto_sinistra_2","","","5","Medaglia commemorativa delle onoranze del 1907\n Commemorative medal from the 1907 celebrations","","","Medaglia","Incisione","Medaglia","","","Medaglia commemorativa delle onoranze del 1907","Commemorative medal from the 1907 celebrations","1907","","","","","","","","","","","","","","","","","","",""
"a_alto_sinistra_3","","","5","Calchi in gesso di medaglie coniate con Aldrovandi vivente\n Plaster casts of 16th century medals","","","Calco","Incisione","Calco","Ulisse Aldrovandi [Ulisse Aldrovandi]","","Calchi in gesso di medaglie coniate con Aldrovandi vivente","Plaster casts of 16th century medals","1500-1599","","","","","","","","","","","","","","","","","","",""
"b_alto_destra_1","","","5","Mammuthus sp.","","","Specimen","","Specimen","mammut [mammoth]","","Mammuthus sp.","Species within the genus Mammuthus","","","","","","","","","","","","","","","","","","","",""
"b_alto_destra_2","","","5","Mammuthus sp.","","","Specimen","","Specimen","mammut [mammoth]","","Mammuthus sp.","Species within the genus Mammuthus","","","","","","","","","","","","","","","","","","","",""
"b_alto_destra_3","","","5","Hippopotamus amphibius (Linnaeus, 1758)","","","Specimen","","Specimen","ippopotamo [hippopotamus]","","Hippopotamus amphibius","Hippopotamus","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"b_alto_centro_1","","","5","Harpactocarcinus punctulatus (Milne-Edwards, 1862)","","","Specimen","","Specimen","granchio [crab]","","Harpactocarcinus punctulatus","Speckled crab","","Henri Milne-Edwards (viaf:12392989)","","","","","","","","","","","","","","","","","",""
"b_alto_centro_2","","","5","Harpactocarcinus sp.","","","Specimen","","Specimen","granchio [crab]","","Harpactocarcinus sp.","Species within the genus Harpactocarcinus","","","","","","","","","","","","","","","","","","","",""
"b_alto_centro_3","","","5","Lophoranina Aldrovandi (Ranzani, 1818)\n Olotipo / Holotype","","","Specimen","","Specimen","crostaceo [crustacean]","","Lophoranina Aldrovandi","Aldrovandi's moorhen","","Camillo Ranzani (viaf:13055229)","","","","","","","","","","","","","","","","","",""
"b_alto_sinistra_1","","","5","Palaeoniscum freieslebeni (De Blainville, 1818)\n Carbonifero, Sassonia, Carbonifereous, Saxony","","","Specimen","","Specimen","pesce [fish]","","Palaeoniscum freieslebeni","Palaeoniscum freieslebeni","","Henri-Marie Ducrotay De Blainville (viaf:76391064)","","","","","","","","","","","","","","","","","",""
"b_alto_sinistra_2","","","5","Charcharodon megalodon (Agassiz, 1843), Miocene","","","Specimen","","Specimen","","","Charcharodon megalodon","Charcharodon megalodon","","Louis Agassiz (viaf:14832040)","","","","","","","","","","","","","","","","","",""
"b_alto_sinistra_3","","","5","Coelodus sp. e Lepidotes gigas, Denti di pesci\n Fish teeth","","","Specimen","","Specimen","dente [tooth]; pesce [fish]","","Denti di pesci (Coelodus sp. e Lepidotes gigas)","Fish teeth (species within the genus Coelodus and Lepidotes gigas)","","","","","","","","","","","","","","","","","","","",""
"b_basso","","","5","Fanoni di balena\n Baleen","","","Specimen","","Specimen","balena [whale]","","Fanoni di balena","Whale baleen","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_n_1","","","5","Collana di semi mesoamericana\n Seeds necklace from Central America","","","Collana","Essiccatura","Collana","","","Collana di semi mesoamericana","Mesoamerican seed necklace","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_n_2","","","5","Bambù lavorato\n Hand-carved bamboo","","","Artefatto","Incisione","Artefatto","","","Bambù lavorato","Hand-carved bamboo","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_n_2_t","Vetrina 1 Alto N - 2","Rappresenta","5","Tavoletta con bambù","","","Artefatto","","Artefatto","","","Tavoletta con bambù","Bamboo tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_n_3","","","5","Sonaglio con semi di Thevetia peruviana\n Rattle with Thevetia peruviana seeds","","","Sonaglio","Essiccatura","Sonaglio","","","Sonaglio con semi di Thevetia peruviana","Rattle with Thevetia peruviana seeds","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_n_3_t","Vetrina 1 Alto N - 3","Rappresenta","5","Tavoletta con sonaglio","","","Artefatto","","Artefatto","","","Tavoletta con sonaglio","Rattle tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_1","","","5","Statuetta ushabti in faïence\n Ushabti statuette in faïence\n Epoca tarda\n Late period","","","Statua","Scultura","Statua","ushabti [ushabti]","","Statuetta ushabti in faïence","Ushabti statuette in faïence","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_2","","","5","Lucerna fittile a volute con spalla decorata\n Clay lamp with scrolls and decorated side\n sec. I d.C. 1st century A.D.","","","Lampada","","Lampada","","","Lucerna fittile a volute con spalla decorata","Clay lamp with scrolls and decorated side","0-99","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_3","","","5","Scarabeo in stile egizio in pietra dura bianca\n Egyptian style scarab in hard white stone\n Età moderna (?)\n Modern era (?)","","","Artefatto","Intarsio","Artefatto","scarabeo [beetle]","","Scarabeo in stile egizio in pietra dura bianca","Egyptian style scarab in hard white stone","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_4","","","5","Gemma in agata con capra presso albero\n Agate gem with a goat next to a tree\n Metà sec. I a.C.\n Mid 1st century B.C.","","","Gemma","Intarsio","Gemma","capra [goat]; albero [tree]","","Gemma in agata con capra presso albero","Agate gem with a goat next to a tree","- 0-99","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_5","","","5","Gemma in agata con maschera della commedia dell’arte\n Agate gem with comedy of art mask\n Metà sec. I a.C.\n Mid 1st century B.C.","","","Gemma","Intarsio","Gemma","maschera [mask]","","Gemma in agata con maschera della commedia dell’arte","Agate gem with comedy of art mask","- 0-99","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_6","","","5","Gemma in agata con Serapide in trono\n Agate gem with Serapis enthroned\n Sec. I d.C.\n 1st century A.D.","","","Gemma","Intarsio","Gemma","Serapide [Serapis]; trono [throne]","","Gemma in agata con Serapide in trono","Agate gem with Serapis enthroned","0-99","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_7","","","5","Gemma in agata con uccello\n Agate gem with a bird\n Sec. I d.C.\n 1st century A.D.","","","Gemma","Intarsio","Gemma","uccello [bird]","","Gemma in agata con uccello","Agate gem with a bird","0-99","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_8","","","5","Gemma in agata con Mercurio e Fortuna\n Agate gem with Mercury and Fortuna\n Sec. II d.C.\n 2nd century A.D.","","","Gemma","Intarsio","Gemma","Mercurio [Mercury]; Fortuna [Fortune]","","Gemma in agata con Mercurio e Fortuna","Agate gem with Mercury and Fortuna","100-199","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_9","","","5","Gemma in pasta vitrea stratificata con figura appoggiata a un bastone\n Gem in laminated vitreous paste with a figure resting on a stick\n Sec. II-III d.C.\n 2nd-3rd century A.D.","","","Gemma","Intarsio","Gemma","umano [human]; bastone [staff]","","Gemma in pasta vitrea stratificata con figura appoggiata a un bastone","Gem in laminated vitreous paste with a figure resting on a stick","100-299","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_10","","","5","Gemma in diaspro giallo con cinocefalo e iscrizione\n Yellow jasper gem with a cynocephalon and inscription\n Sec. III d.C.\n 3rd century A.D.","","","Gemma","Intarsio","Gemma","cinocefalo [cynocephalus]","","Gemma in diaspro giallo con cinocefalo e iscrizione","Yellow jasper gem with a cynocephalon and inscription","200-299","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_11","","","5","Gemma in diaspro con scorpione\n Jasper gem with a scorpion\n Sec. III d.C.\n 3rd century A.D.","","","Gemma","Intarsio","Gemma","scorpione [scorpion]","","Gemma in diaspro con scorpione","Jasper gem with a scorpion","200-299","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_12","","","5","Gemma in diaspro nero con iscrizione araba\n Black jasper gem with arabic inscription\n Sec. VIII-XVII d.C.\n 8th-17th century A.D.","","","Gemma","Intarsio","Gemma","iscrizione araba [Arabic inscription]","","Gemma in diaspro nero con iscrizione araba","Black jasper gem with arabic inscription","700-1699","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_13","","","5","Sferule di avorio e calcare\n Limestone and ivory spheres","","","Artefatto","","Artefatto","","","Sferule di avorio e calcare","Limestone and ivory spheres","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_14","","","5","Punta di freccia del Neolitico\n Neolitic arrow point","https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/5952/","","Artefatto","","Artefatto","Neolitico [Neolithic]","","Punta di freccia del Neolitico","Neolitic arrow point","- 10000-2000","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_15","","","5","Corno lavorato\n Carved horn","","","Artefatto","","Artefatto","","","Corno lavorato","Carved horn","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_alto_s_16","","","5","Ascia di giadeite\n Jade axe","","","Ascia","","Ascia","","","Ascia di giadeite","Jade axe","","","","","","","","","","","","","","","","","","","",""
"vetrina_1_basso","","","5","Carapaci di tartarughe\n Turtle shells","","","Specimen","Tassidermia","Specimen","tartaruga [turtle]","","Carapaci di tartarughe","Turtle shells","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_1","","","5","Calcoli\n Kidney stone","","","Specimen","","Specimen","calcoli renali [kidney stones]","","Calcoli","Kidney stone","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_1_t1","Vetrina 2 Alto N - 1","Rappresenta","5","Tavoletta con calcolo","","","Calco","","Calco","calcoli renali [kidney stones]","","Tavoletta con calcolo","Kidney stone tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_1_t2","Vetrina 2 Alto N - 1","Rappresenta","5","Tavoletta con calcolo","","","Calco","","Calco","calcoli renali [kidney stones]","","Tavoletta con calcolo","Kidney stone tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_2","","","5","Bezoar di gazzella\n Gazzelle bezoar","","","Specimen","","Specimen","gazzella [gazelle]","","Bezoar di gazzella","Gazzelle bezoar","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_3","","","5","Sezioni di denti di elefante\n Elephant teeth","","","Specimen","","Specimen","dente [tooth]; elefante [elephant]","","Sezioni di denti di elefante","Elephant teeth","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_n_3_t","Vetrina 2 Alto N - 3","Rappresenta","5","Tavoletta con elefante","","","Artefatto","","Artefatto","elefante [elephant]","","Tavoletta con elefante","Elephant tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_s_1","","","5","Zanne di elefante\n Elephant tusks","","","Specimen","","Specimen","elefante [elephant]","","Zanne di elefante","Elephant tusks","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_s_1_t","Vetrina 2 Alto S - 1","Rappresenta","5","Tavoletta con elefante","","","Artefatto","","Artefatto","elefante [elephant]","","Tavoletta con elefante","Elephant tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_s_2","","","5","Corna di bovidi e cervidi\n Bull and deer horns","","","Specimen","","Specimen","corna [horns]; cervo [deer]; bovino [bovine]","","Corna di bovidi e cervidi","Bull and deer horns","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_s_2_t","Vetrina 2 Alto S - 2","Rappresenta","5","Tavoletta con cervo","","","Artefatto","","Artefatto","cervo [deer]","","Tavoletta con cervo","Deer tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_alto_s_3","","","5","Ghiandole di castoro e capra\n Beaver and goat glands","","","Specimen","Tassidermia","Specimen","castoro [beaver]; capra [goat]","","Ghiandole di castoro e capra","Beaver and goat glands","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_basso","","","5","Preparati zoologici: cervo, rinoceronte e antilope\n Zoological samples: deer, rhinoceros and antelope","","","Specimen","Tassidermia","Specimen","cervo [deer]; rinoceronte [rhinoceros]; antilope [antelope]","","Preparati zoologici: cervo, rinoceronte e antilope","Zoological samples: deer, rhinoceros and antelope","","","","","","","","","","","","","","","","","","","",""
"vetrina_2_basso_t","vetrina_2_basso","Rappresenta","5","Tavoletta rinoceronte","","","Calco","","Calco","rinoceronte [rhinoceros]","","Tavoletta con rinoceronte","Rhino tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_n_1","","","5","Uova di struzzo\n Ostrich eggs","","","Specimen","","Specimen","uova [eggs]; struzzo [ostrich]","","Uova di struzzo","Ostrich eggs","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_n_2","","","5","Uova mostruose di pollo e fagiano\n Chicken and pheasant monster eggs","","","Specimen","","Specimen","uova [eggs]; fagiano [pheasant]; pollo [chicken]","","Uova mostruose di pollo e fagiano","Chicken and pheasant monster eggs","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_n_3","","","5","Graminacea subfossile\n Grass plant","","","Specimen","","Specimen","graminacee [grasses]","","Graminacea subfossile","Subfossil grass plant","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_n_4","","","5","Apice vegetativo di palma\n Palm tree leaf","","","Specimen","","Specimen","palma [palm]","","Apice vegetativo di palma","Palm tree leaf","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_1","","","5","Baccello con seme\n Pod with seed","","","Specimen","","Specimen","seme [seed]; bacello [pod]","","Baccello con seme","Pod with seed","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_1_t","Vetrina 3 Alto S - 1","Rappresenta","5","Tavoletta con baccelli","","","Calco","","Calco","bacello [pod]","","Tavoletta con bacelli","Pods tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_2","","","5","Preparati vegetali\n Botanical samples","","","Specimen","","Specimen","","","Preparati vegetali","Botanical samples","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_2_t","Vetrina 3 Alto S - 2","Rappresenta","5","Tavoletta con nido","","","Calco","","Calco","nido [nest]","","Tavoletta con nido","Nest tablet","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_3","","","5","Preparati vegetali\n Botanical samples","","","Specimen","","Specimen","","","Preparati vegetali","Botanical samples","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_4","","","5","Nidi di pendolino\n Penduline tit nests","","","Specimen","","Specimen","nido [nest]; pendolino [penduline tit]","","Nidi di pendolino","Penduline nests","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_alto_s_5","","","5","Nido indet. dal Brasile\n Unknown nest from Brazil","","","Specimen","","Specimen","nido [nest]; pendolino [penduline tit]","","Nido indet. dal Brasile","Unknown nest from Brazil","","","","","","","","","","","","","","","","","","","",""
"vetrina_3_basso","","","5","Preparati di terre e terre sigillate\n Soil samples","","","Specimen","","Specimen","terra [earth]","","Preparati di terre e terre sigillate","Soil samples","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_1","","","5","Conoclypeus conoideus (Leske, 1778)","","","Specimen","","Specimen","riccio di mare [sea urchin]","","Conoclypeus conoideus (Leske, 1778)","Cone shell mollusk (Leske, 1778)","","Nathanael Gottfried Leske (viaf:5359394)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_2","","","5","Dollaro di mare\n Sand dollar","","","Specimen","","Specimen","riccio di mare [sea urchin]","","Dollaro di mare","Sand dollar","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_3","","","5","Clypeaster marginatus (Lamark, 1816)","","","Specimen","","Specimen","","","Clypeaster marginatus (Lamark, 1816)","Green sea urchin (Lamark, 1816)","","Jean-Baptiste-Pierre-Antoine De Monet De Lamarck (viaf:41849820)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_4","","","5","Mazettia pareti (Manzoni, 1879)","","","Specimen","","Specimen","","","Mazettia pareti (Manzoni, 1879)","Mazettia pareti (Manzoni, 1879)","","Angelo Manzoni (viaf:89245820)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_5","","","5","Discoidea sp.","","","Specimen","","Specimen","","","Discoidea sp.","Species within the superfamily Discoidea","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_6","","","5","Macropneustes sp.","","","Specimen","","Specimen","","","Macropneustes sp.","Species within the genus Macropneustes","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_7","","","5","Stirechinus sp.","","","Specimen","","Specimen","","","Stirechinus sp.","Species within the genus Stirechinus","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_8","","","5","Spine di echinoidi\n Echinoid spines","","","Specimen","","Specimen","","","Spine di echinoidi","Echinoid spines","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_9","","","5","Echinoide indet.\n Undetermined echinoid","","","Specimen","","Specimen","","","Echinoide indet.","Undetermined echinoid","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_10","","","5","Scutellina nummularia (Agassiz, 1841)","","","Specimen","","Specimen","","","Scutellina nummularia (Agassiz, 1841)","Eyelash fungus (Agassiz, 1841)","","Louis Agassiz (viaf:14832040)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_n_11","","","5","Glypticus hieroglyphicus (Goldfuss, 1829)","","","Specimen","","Specimen","","","Glypticus hieroglyphicus (Goldfuss, 1829)","Glypticus hieroglyphicus (Goldfuss, 1829)","","Georg August Goldfuss (viaf:44642581)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_1","","","5","Calcare a coralli lavorati\n Polished coral limestone","","","Specimen","","Specimen","coralli [corals]","","Calcare a coralli lavorati","Polished coral limestone","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_2","","","5","Coralli\n Corals","","","Specimen","","Specimen","coralli [corals]","","Coralli","Corals","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_3","","","5","Lumachella a helicidi\n Helicidi limestone","","","Specimen","","Specimen","lumaca [snail]","","Lumachella a helicidi","Helicidi limestone","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_4","","","5","Calcare a lumachella\n Lumachella limestone","","","Specimen","","Specimen","lumaca [snail]","","Calcare a lumachella","Lumachella limestone","","","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_5","","","5","Dentalium elephantinum (Linnaeus, 1758)","","","Specimen","","Specimen","","","Dentalium elephantinum (Linnaeus, 1758)","Elephant tusk shell (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
"vetrina_4_alto_s_6","","","5","Glycymeris glycymeris (Linnaeus, 1758)","","","Specimen","","Specimen","","","Glycymeris glycymeris (Linnaeus, 1758)","European bittersweet (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","","","","","","",""
