"NR","OGGETTO","SALA","STATO_CORRENTE","LINK_MOD","NOTE","ACQUISIZIONE_Istituto_responsabile_acquisizione","ACQUISIZIONE_Persone_responsabili_acquisizione","ACQUISIZIONE_Tecnica_di_acquisizione","ACQUISIZIONE_Strumentazione_di_acquisizione","ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd)","ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd)","PROCESSAMENTO_Istituto_responsabile_processamento","PROCESSAMENTO_Persone_responsabili_processamento","PROCESSAMENTO_Strumentazione_di_processamento","PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd)","PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd)","MODELLAZIONE_Istituto_responsabile_modellazione","MODELLAZIONE_Persone_responsabili_modellazione","MODELLAZIONE_Strumentazione_di_modellazione","MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd)","MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd)","OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione","OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione","OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione","OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd)","OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd)","ESPORTAZIONE_Istituto_responsabile_esportazione","ESPORTAZIONE_Persone_responsabili_esportazione","ESPORTAZIONE_Strumentazione_di_esportazione","ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd)","ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd)","METADATAZIONE_Istituto_responsabile_metadatazione","METADATAZIONE_Persone_responsabili_metadatazione","METADATAZIONE_Strumentazione_di_metadatazione","METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd)","METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd)","CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento","CARICAMENTO_SU_ATON_Persone_responsabili_caricamento","CARICAMENTO_SU_ATON_Strumentazione_di_caricamento","CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd)","CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd)","ACQUISIZIONE_Licenza","LINK","MODELLAZIONE_Licenza","OGGETTO_ESISTENTE","OTTIMIZZAZIONE_Licenza","PROCESSAMENTO_Licenza"
"7f","Trilobite - Scutellum","15","1b - Acquisito ma da rifare","","","UNIBO FICLIT","Kaosaier Wusiman","Fotogrammetria","Panasonic DMC-LX100","2024-06-12","2024-06-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699732","Trilobite - Hamatolenus Cambiano","15","5 - Esportato","","","UNIBO FICLIT","Kaosaier Wusiman","Fotogrammetria","Panasonic DMC-LX100","2024-06-16","2024-06-16","UNIBO FICLIT","Francesca Fabbri","3df zephyr","2024-08-26","2024-08-26","UNIBO FICLIT","Francesca Fabbri","Blender","2024-08-27","2024-08-27","UNIBO FICLIT","Francesca Fabbri","Instant Meshes, Blender, Photoshop, 3DF Zephyr","2024-07-27","2024-07-27","UNIBO FICLIT","Francesca fabbri","Blender","2024-07-27","2024-07-27","","","","","","","","","","","","","","","",""
"699733","Trilobite - Illrenus Sp. Ordoviciano","15","5 - Esportato","","","UNIBO FICLIT","Francesca Fabbri","Fotogrammetria","Sony Alpha 6100","2024-06-19","2024-06-19","UNIBO FICLIT","Francesca Fabbri","3df zephyr","2024-09-03","2024-09-03","UNIBO FICLIT","Francesca Fabbri","Blender","2024-09-03","2024-09-03","UNIBO FICLIT","Francesca Fabbri","Instant Meshes, Blender, Photoshop, 3DF Zephyr","2024-09-04","2024-09-04","UNIBO FICLIT","Francesca fabbri","Blender","2024-09-04","2024-09-04","","","","","","","","","","","","","","","",""
"699734","Trilobite - Palaserusus Sp. Devoniano, Marocco","15","5 - Esportato","","","UNIBO FICLIT","Alice Bordignon","Fotogrammetria","Sony Alpha 6100","2024-06-19","2024-06-19","UNIBO FICLIT","Alice Bordignon","3DF Zephyr","2024-09-02","2024-09-02","UNIBO FICLIT","Alice Bordignon","Blender","2024-09-02","2024-09-02","UNIBO FICLIT","Alice Bordignon","Blender, 3DF Zephyr","2024-09-02","2024-09-02","UNIBO FICLIT","Alice Bordignon","Blender","2024-09-02","2024-09-02","","","","","","","","","","","","","","","",""
"7l","Trilobite - Asteropyge Sp. Devoniano, Marocco","PT4G (S9)","1b - Acquisito ma da rifare","","","UNIBO FICLIT","Alice Bordignon","Fotogrammetria","Sony Alpha 6100","2024-06-19","2024-06-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699735","Trilobiti - Flexicalymene Ouzregui, Ordoviciano","15","5 - Esportato","","","UNIBO FICLIT","Alice Bordignon","Fotogrammetria","Sony Alpha 6100","2024-06-19","2024-06-19","CNR ISPC","Maria Felicia Rega","3DF Zephyr","2024-02-10","2024-02-10","CNR ISPC","Maria Felicia Rega","Blender","2024-02-10","2024-02-10","CNR ISPC","Maria Felicia Rega","Instant Meshes, Blender, 3DF Zephyr","2024-02-10","2024-02-10","CNR ISPC","Maria Felicia Rega","Blender","2024-02-10","2024-02-10","","","","","","","","","","","","","","","",""
"699694","Thethyshadros","10","5 - Esportato","","PRIORITA': entro 28 febbraio. Oggetto scelto per stampa 3D","UNIBO DBC","Federica Collina","Scanner Artec","Artec Eva e Spider","2024-06-11","2024-06-11","UNIBO DBC","Federica Collina","Artec Studio 15","2025-01-08","2025-01-13","UNIBO DBC","Federica Collina","Blender","2025-01-13","2025-01-17","UNIBO FICLIT","Francesca Fabbri","Instant Meshes, Blender, 3DF Zephyr","2025-02-27","2025-02-27","UNIBO FICLIT","Francesca Fabbri","Blender","2025-02-28","2025-02-28","","","","","","","","","","","","","","","",""
"699712","Mosasaurus sp.","10","5 - Esportato","","","UNIBO DBC","Federica Collina","Scanner Artec","Artec Spider","2024-05-31","2024-05-31","UNIBO DBC","Federica Collina","Artec Studio 18","2025-01-20","2025-01-21","UNIBO DBC","Federica Collina","Blender","2025-01-27","2025-01-27","UNIBO FICLIT","Luisa Ammirati","Instant Meshes, Blender, Gimp","2025-02-05","2025-02-07","UNIBO FICLIT","Luisa Ammirati","Blender","2025-02-10","2025-02-10","","","","","","","","","","","","","","","",""
"699736","Capellinosuchus","10","5 - Esportato","","*per modellazione si intende modifica della texture","UNIBO DBC","Federica Collina","Scanner Artec","Artec Spider","2024-05-30","2024-05-30","UNIBO DBC","Federica Collina","Artec Studio 15","2024-07-30","2024-07-30","UNIBO DBC","Federica Collina","Blender","2024-07-31","2024-07-31","UNIBO FICLIT","Alice Bordignon","Instant Meshes, Blender, Gimp","2024-08-02","2024-08-02","UNIBO FICLIT","Alice Bordignon","Blender","2024-08-02","2024-08-02","","","","","","","","","","","","","","","",""
"699737","Modellino in gesso di ittiosauro","10","5 - Esportato","","","UNIBO DBC","Federica Collina","Scanner Artec","Artec Spider","2024-05-30","2024-05-30","UNIBO DBC","Federica Collina","Artec Studio 15","2024-08-21","2024-08-21","UNIBO DBC","Federica Collina","Blender","2024-08-26","2024-08-26","UNIBO FICLIT","Luisa Ammirati","Instant Meshes, Blender, Gimp","2025-02-03","2025-02-05","UNIBO FICLIT","Luisa Ammirati","Blender","2025-02-05","2025-02-05","","","","","","","","","","","","","","","",""
