NR,OGGETTO,SALA,STATO_CORRENTE,LINK_MOD,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Licenza,LINK,MODELLAZIONE_Licenza,OGGETTO_ESISTENTE,OTTIMIZZAZIONE_Licenza,PROCESSAMENTO_Licenza
699752,Stegodon Insignis (molare sup.),6,5 - Esportato,v,,UNIBO DBC,Federica Collina,Scanner Artec,Artec Spider,03/06/2024,03/06/2024,UNIBO DBC,Federica Collina,Artec Studio 15,27/08/2024,27/08/2024,UNIBO DBC,Federica Collina,Blender,27/08/2024,27/08/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender",12/9/2024,12/9/2024,UNIBO FICLIT,Francesca Fabbri,blender,12/9/2024,12/9/2024,,,,,,,,,,,,,,,,
699753,Elephas Antiquus (dente molare sup.),6,5 - Esportato,v,,UNIBO DBC,Federica Collina,Scanner Artec,Artec Spider,11/06/2024,11/06/2024,UNIBO DBC,Federica Collina,Artec Studio 15,17/07/2024,17/07/2024,,,,,,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",10/9/2024,10/9/2024,UNIBO FICLIT,Alice Bordignon,Blender,10/9/2024,10/9/2024,,,,,,,,,,,,,,,,
699722,Elephas Primigenius (dente molare),6,5 - Esportato,v,Stampa 3D,UNIBO DBC,Federica Collina,Scanner Artec,Artec Spider,11/06/2024,11/06/2024,UNIBO DBC,Federica Collina,Artec Studio 15,19/07/2024,19/07/2024,,,,,,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",01/08/2024,01/08/2024,UNIBO FICLIT,Alice Bordignon,Blender,01/08/2024,01/08/2024,,,,,,,,,,,,,,,,
20,Micro mammiferi,,,,no entità. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699754,Cranio di volpe,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,24/06/2024,24/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,9/10/2024,9/10/2024,CNR ISPC,Maria Felicia Rega,Blender,10/9/2024,10/9/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender",10/9/2024,10/9/2024,CNR ISPC,Maria Felicia Rega,Blender,10/9/2024,10/9/2024,,,,,,,,,,,,,,,,
699755,Felis pardus mandibola,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,24/06/2024,24/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,2/9/2024,2/9/2024,UNIBO FICLIT,Francesca Fabbri,Blender,2/9/2024,2/9/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender",2/9/2024,2/9/2024,UNIBO FICLIT,Francesca Fabbri,Blender,2/9/2024,2/9/2024,,,,,,,,,,,,,,,,
699756,Felis pardus mascella ,6,1b - Acquisito ma da rifare,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,24/06/2024,24/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699757,Cranio faina,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,28/08/2024,28/08/2024,UNIBO FICLIT,Alice Bordignon,Blender,28/08/2024,28/08/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",28/08/2024,28/08/2024,UNIBO FICLIT,Alice Bordignon,Blender,28/08/2024,28/08/2024,,,,,,,,,,,,,,,,
699758,Felis silvestris mandibola,6,1b - Acquisito ma da rifare,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699759,Hyaenodon heberti - porzione di mandibola dx,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,17/09/2024,17/09/2024,CNR ISPC,Maria Felicia Rega,Blender,17/09/2024,17/09/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",17/09/2024,17/09/2024,CNR ISPC,Maria Felicia Rega,Blender,17/09/2024,17/09/2024,,,,,,,,,,,,,,,,
699760,"Aelurogale intermedia - porzione mascella sx, porzione mandibola dx",6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,16/09/2024,16/09/2024,CNR ISPC,Maria Felicia Rega,Blender,16/09/2024,16/09/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",16/09/2024,16/09/2024,CNR ISPC,Maria Felicia Rega,Blender,16/09/2024,16/09/2024,,,,,,,,,,,,,,,,
699761,Pterodon dasyuroides - porzione di mascella dx,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,16/09/2024,16/09/2024,CNR ISPC,Maria Felicia Rega,Blender,16/09/2024,16/09/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",16/09/2024,17/09/2024,CNR ISPC,Maria Felicia Rega,Blender,17/09/2024,17/09/2024,,,,,,,,,,,,,,,,
699762,Canis - Mandibola sx,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,9/11/2024,9/11/2024,CNR ISPC,Maria Felicia Rega,Blender,9/11/2024,9/11/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",9/11/2024,9/11/2024,CNR ISPC,Maria Felicia Rega,Blender,9/12/2024,9/12/2014,,,,,,,,,,,,,,,,
699763,Meles meles - cranio,6,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,5/9/2024,5/9/2024,UNIBO FICLIT,Francesca Fabbri,Blender,6/9/2024,6/9/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender",6/9/2024,6/9/2024,UNIBO FICLIT,Francesca Fabbri,Blender,6/9/2024,6/9/2024,,,,,,,,,,,,,,,,
699764,"Putorius - Cranio completo, arto anteriore, vertebre, scapola e costole",6,2 - Processato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,11/9/2024,11/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699765,Meles meles - mandibole,6,1b - Acquisito ma da rifare,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ursus Spelaeus,6,1b - Acquisito ma da rifare,,se c'è tempo scansionare cranio,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699723,Mammuth primigenius,6,5 - Esportato,v,"modello per disseminazione, non documentazione",UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,25/06/2024,25/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,4/4/2025,4/4/2025,UNIBO FICLIT,Alice Bordignon,Blender,10/4/2025,12/4/2025,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",12/4/2025,20/4/2025,UNIBO FICLIT,Alice Bordignon,Blender,20/05/2025,20/05/2025,,,,,,,,,,,,,,,,
23,Glyptodon typus:,4,,,no entità. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699716,Corazza,4,1b - Acquisito ma da rifare,,"Possibile caso studio, da valutare la riacquisizione",UNIBO FICLIT,Alice Bordignon,Fotogrammetria,RICOH THETA SC2,25/06/2024,25/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699717,Modellino,4,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,19/06/2024,19/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,22/7/2024,22/7/2024,UNIBO FICLIT,Alice Bordignon,Blender,23/07/2024,23/07/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",24/07/2024,24/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,24/07/2024,24/07/2024,,,,,,,,,,,,,,,,
699718,Ossa mandibola - pezzo piccolo ,4,5 - Esportato,v,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Nikon D750,19/06/2024,19/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,22/7/2024,22/7/2024,UNIBO FICLIT,Francesca Fabbri,Blender,22/07/2024,22/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,22/07/2024,22/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,22/07/2024,22/07/2024,,,,,,,,,,,,,,,,
699719,Ossa mandibola - pezzo grande,4,5 - Esportato,v,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,19/06/2024,19/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,29/07/2024,29/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,29/07/2024,29/07/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",30/07/2024,30/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,30/07/2024,30/07/2024,,,,,,,,,,,,,,,,
699720,Femore Glyptodon,4,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,19/06/2024,19/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,12/07/2024,12/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,15/07/2025,15/07/2025,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender, Gimp, 3DF Zephyr",15/07/2024,15/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,26/07/2024,26/07/2024,,,,,,,,,,,,,,,,
