NR,OGGETTO,SALA,STATO_CORRENTE,LINK_MOD,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Licenza,LINK,MODELLAZIONE_Licenza,OGGETTO_ESISTENTE,OTTIMIZZAZIONE_Licenza,PROCESSAMENTO_Licenza
699711,Scheletro di balena Pianoro,13,5 - Esportato,,PRIORITA': entro fine marzo. Serve modello grezzo,UNIBO DBC,"Federica Collina, Alice Bordignon",Scanner Artec,"FARO Scanner, Nikon D750",5/3/2025,5/3/2025,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,10/3/2025,21/03/2025,UNIBO FICLIT,Alice Bordignon,Blender,21/03/2025,24/03/2025,UNIBO FICLIT,Alice Bordignon,"3DF Zephyr, Blender, Gimp",21/03/2025,24/03/2025,UNIBO FICLIT,Alice Bordignon,Blender,24/03/2025,24/03/2025,,,,,,,,,,,,,,,,
699771,Cranio di uccello,12,5 - Esportato,Fra,*per modellazione si intende modifica della texture,UNIBO DBC,Federica Collina,Scanner Artec,Artec Spider,30/05/2024,30/05/2024,UNIBO DBC,Federica Collina,Artec Studio 15,30/07/2024,30/07/2024,UNIBO DBC,Federica Collina,Blender,30/07/2024,30/07/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender",13/06/2025,13/06/2025,UNIBO FICLIT,Francesca Fabbri,Blender,13/06/2025,13/06/2025,,,,,,,,,,,,,,,,
699772,Tronco gessificato,7,5 - Esportato,,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Panasonic DMC-LX100,18/06/2024,18/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,28/08/2024,28/08/2024,UNIBO FICLIT,Francesca Fabbri,Blender,28/08/2024,29/08/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, Photoshop, 3DF Zephyr",29/08/2024,29/08/2024,UNIBO FICLIT,Francesca Fabbri,Blender,29/08/2024,29/08/2024,,,,,,,,,,,,,,,,
699773,Pterodactylus Longirostris,10,5 - Esportato,,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Nikon D750,20/07/2024,20/07/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,3/10/2024,3/10/2024,UNIBO FICLIT,Francesca Fabbri,Blender,4/10/2024,4/10/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, Photoshop, 3DF Zephyr",4/10/2024,4/10/2024,UNIBO FICLIT,Francesca Fabbri,Blender,4/10/2024,4/10/2024,,,,,,,,,,,,,,,,
FINE OBBLIGATORI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,Protosphargis veronensis,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,Plastico ambiente di montagna con fiumi,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,Plastico ambiente marino scogliera,8,,,Già presente tra i modelli vecchi del Museo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699774,Plastico ambiente vulcanico,8,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,24/06/2024,24/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,02/08/2024,02/08/2024,UNIBO FICLIT,Alice Bordignon,Blender,05/08/2024,05/08/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender, Gimp",05/08/2024,05/08/2024,UNIBO FICLIT,Alice Bordignon,Blender,05/08/2024,05/08/2024,,,,,,,,,,,,,,,,
699775,Plastico ambiente montano – ghiacciaio,8,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,24/06/2024,24/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,19/09/2024,19/09/2024,CNR ISPC,Maria Felicia Rega,Blender,19/09/2024,23/09/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",19/09/2024,23/09/2024,CNR ISPC,Maria Felicia Rega,Blender,02/10/2024,02/10/2024,,,,,,,,,,,,,,,,
