NR,NR collegato,Relazione,Sala mostra,Didascalia,Riproduzione digitale,Consistenza,Tipologia documentaria,Tecnica,Tipologia riprod. in mostra,Soggetti,Titolo originale,Titolo museale,Titolo @en,Data,Scopritore,Autore,Traduttore,Disegnatore,Incisore,Editore,Luogo editore,Preparatore museale,Committente,Tipologia opera parente,Titolo opera parente,Volume,Collezione,Ente conservatore,Luogo conservazione,Collocazione,Fonte,Immagine digitale,Iconografia
699728,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699729,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699730,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699731,,,,Trilobite,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699732,,,,Trilobite,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699733,,,,Trilobite,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699734,,,,Trilobite,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699735,,,,Trilobite,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699736,,,X,Cranio parziale di mosasauro,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699737,,,X,Ricostruzione ottocentesca in gesso di rettili marini,,,Modello,Gesso,,,,,,,,"Waterhouse, Hawkins (VIAF: 303466253)",,"Waterhouse, Hawkins (VIAF: 303466253)",,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699738,,,X,Modello in gesso di Archaeopterix (esemplare di Berlino),,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699739,,,VII,Foglia fossile di albero del pane,,,Specimen,Fossile,,,,,,,"Scarabelli, Giuseppe (VIAF: 69752215)",,,,,,,,,,,,Scarabelli,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699740,,,VII,Foglia fossile di acero,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699741,,,VII,Foglia fossile di edera,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699742,,,VII,Foglia fossile salice,,,Specimen,Fossile,,,,,,,"Scarabelli, Giuseppe (VIAF: 69752215)",,,,,,,,,,,,Scarabelli,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699743,,,VII,Foglia fossile di sequoia,,,Specimen,Fossile,,,,,,,"Scarabelli, Giuseppe (VIAF: 69752215)",,,,,,,,,,,,Scarabelli,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699744,,,VII,Foglia fossile in travertino,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699745,,,VII,Foglie fossili di pianta vascolare del Carbonifero,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699746,,,VII,Pigna fossile di pino,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699747,,,VI,Molare inferiore di elefante nano,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Cooke,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699748,,,VI,Zanna di elefante nano,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699749,,,VI,"Deinoterio, ultimo molare inferiore",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699750,,,VI,"Mastodonte, penultimo molare inferiore sinistro",,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699751,,,VI,"Mastodonte, dente molare superiore ",,,Specimen,Fossile,,,,,,,"Kaup, Johann Jacob (VIAF: 8678167082557258570004)",,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699752,,,VI,"Proboscidato (affine agli elefanti), dente molare superiore ",,,Calco,Gesso,,,,,,,,,,,,,,,"Cuvier, Georges  (VIAF: 4981028)",,,,Ranzani,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699753,,,VI,"Elefante antico, dente molare superiore ",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699754,,,VI,Cranio di volpe,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699755,,,VI,Mandibola di leopardo,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699756,,,VI,Mascella sinistra di leopardo,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699757,,,VI,Cranio di faina,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699758,,,VI,Mandibola di gatto selvatico,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699759,,,VI,"Mandibola destra di ienodontide, un mammifero carnivoro",,,Specimen,Fossile,,,,,,,"Filhol, Henri (VIAF: 56758134)",,,,,,,,,,,,Filhol,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699760,,,VI,"Porzioni di cranio di nimravo, un carnivoro detto "" la falsa tigre dai denti a sciabola""",,,Specimen,Fossile,,,,,,,"Filhol, Henri (VIAF: 56758134)",,,,,,,,,,,,Filhol,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699761,,,VI,"Mascella destra di pterodon, un mammifero carnivoro",,,Specimen,Fossile,,,,,,,"Filhol, Henri (VIAF: 56758134)",,,,,,,,,,,,Filhol,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699762,,,VI,Mandibola sinistra di canide,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Antiche collezioni,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699763,,,VI,Cranio di tasso,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699764,,,VI,Cranio ed elementi post-craniali di puzzola,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Canossa,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699765,,,VI,Mandibole di tasso,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699766,,,IV,Scheletro completo di pipistrello,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699767,,,XI,Estremità inferiori di passero,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699768,,,XI,Scheletro parziale di passero,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699769,,,XI,"Scheletro di rallide, uccello simile a folaghe e gallinelle",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699770,,,I,Ritratto di Giovanni Capellini,,,Dipinto,Olio su tela,,"Capellini, Giovanni (VIAF: 69232941)",,,,,,"Fabbi, Alberto",,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699771,,,XII,Cranio di uccello ,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Damiani,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699772,,,VII,Tronco gessificato,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699773,,,X,Calco di  uno scheletro di pterodattilo,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699774,,,VIII,Modellino didattico in gesso rappresentante un vulcano tipo,,,Modello,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699775,,,VIII,Modellino didattico in gesso rappresentante un ambiente montano tipo,,,Modello,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699776,,,X,Uova di dinosauro sauropode,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699777,,,IV,Disegno originale dell'uccello dentato Hesperiornis regalis dal Cretacico del Nord America,,,Dipinto,Disegno,,Scheetro completo di Hesperiornis regalis,,,,,,,,,,,,,"Marsh, Othiel Charles (VIAF: 19761195)",,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699780,,,,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699781,699703,In relazione con,,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699782,,,XII,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699783,,,,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
