NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
35,Basilisco,,Basilisco,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240209-pvraty7hq,,,Unibo Dbc,Federica Giacomini,Fotogrammetria,Nikon D750,,Unibo Dbc,Federica Giacomini,Agisoft Metashape,2023-04-04,2023-04-04,,Unibo Dbc,Federica Giacomini,Blender,2023-07-04,2023-07-04,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Giacomini,Meshlab; Instant Meshes,2023-04-13,2023-04-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Giacomini,Metashape,2023-04-13,2023-04-13,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-09,2024-02-09,,2023-04-03,2023-04-03,2
36,"Tavola Aldrovandi, Ciclope",,Ciclope,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250127-evrx9spb6,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-05-11,2023-05-11,,Unibo Ficlit,Alice Bordignon,Blender,2023-09-11,2023-09-11,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr; Gimp,2023-09-12,2023-09-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-09-12,2023-09-12,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-09-12,2023-09-12,,2023-05-08,2023-05-08,2
37,"Cera, Bambino Ciclope",,Tavola Con Monocolo,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240213-mxgcivgtz,,,Cnr Ispc,Rachele Manganelli,Fotogrammetria,Nikon D3300,,Cnr Ispc,Rachele Manganelli,Agisoft Metashape,2023-09-21,2023-09-25,,Cnr Ispc,Rachele Manganelli,Cloudcompare; Meshlab; Blender,2023-09-25,2023-09-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Instant Meshes; Blender; Adobe Photoshop 2023,2024-01-08,2024-01-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Blender,2024-02-12,2024-02-10,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-13,2024-02-13,,2023-05-08,2023-05-08,2
38,"Tavola Aldrovandi, Vitello 2 Teste",,Doppia Testa Di Vitello,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230913-6pebjzfy0,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-05-11,2023-05-11,,Unibo Ficlit,Alice Bordignon,Blender,2023-09-13,2023-09-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr; Gimp,2023-09-13,2023-09-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-09-13,2023-09-13,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-09-13,2023-09-13,,2023-05-08,2023-05-08,2
39,Vitello Tassidermizzato,,"Bos Taurus (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240403-psafpjd57,,,Cnr Ispc,Daniele Ferdani,Fotogrammetria,Canon Eos 6d; Lente 24-70 F2.8 L,,Cnr Ispc,Daniele Ferdani,3df Zephyr,2023-05-15,2023-05-15,,Cnr Ispc,Maria Felicia Rega,Blender,2024-03-04,2024-03-04,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Blender; Adobe Photoshop 2023,2024-03-04,2024-03-04,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-03-04,2024-03-04,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-04-03,2024-04-03,,2023-05-15,2023-05-15,2
40,Unicorno,,"Monodon Monoceros (linnaeus, 1758)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250127-ky25a8trl,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-22,2023-08-29,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-08-29,2024-01-23,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-02-09,2024-02-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-02-09,2024-02-09,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-09,2024-02-09,,2023-05-22,2023-05-22,2
41,Teriaca,,Orcio Per Teriaca,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250127-k3gaowzel,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Unibo Da,Mattia Sullini,Agisoft Metashape,2023-06-14,2024-04-19,,Unibo Da ,Mattia Sullini,Modo; Substance Painter,2024-04-19,2024-05-10,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Modo,2024-04-19,2024-05-10,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Modo; Gestaltor,2024-05-10,2024-05-10,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-05-13,2024-05-13,,2023-05-15,2023-05-15,2
42,"Tavola, Aldrovandi Vipera",,Cerastes Serpens E Ammodites,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230822-onmcdskke,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-05-16,2023-05-16,,Unibo Ficlit,Alice Bordignon,Blender,2023-08-21,2023-08-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr; Gimp,2023-08-21,2023-08-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-08-21,2023-08-21,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-08-21,2023-08-21,,2023-05-15,2023-05-15,2
43,Erbario Medievale,,Hortus Sanitatis,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231129-rq1e5y949,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 50mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-05-08,2023-05-09,,Unibo Ficlit,Alice Bordignon,Blender,2023-11-28,2023-11-29,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2023-11-29,2023-11-29,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-11-29,2023-11-29,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-11-29,2023-11-29,,2023-05-08,2023-05-08,3
44,"Tavole Aldrovandi, Narciso",,Narcissus,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231215-a7vhocyrz,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 50mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-05-08,2023-05-09,,Unibo Ficlit,Alice Bordignon,Blender,2023-12-13,2023-12-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2023-12-14,2023-12-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-12-15,2023-12-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-15,2023-12-15,,2023-05-08,2023-05-08,3
